label,n_hours,shortfall_MWh,over_commit_MWh,shortage_hours,over_commit_hours,peaker_hours_on,peaker_starts,mean_residual,std_residual,mean_dispatch
Phase 1 only,3280,9412.073692770407,21709.870260981395,670,2494,1319,394.0,-3.7493282220155444,11.641125790419379,72.5171676586017
Phase 1 + 2,3280,8754.580329494032,21754.43342733539,599,2603,1341,402.0,-3.9633698469028533,11.185987888323057,72.73120928348902
