config,seed,dim_local,fusion_hidden,dropout_cnn,dropout_fusion,wd,n_channels,nmae,pnmae,cov80
A_baseline,42,16,64,0.0,0.0,0.0001,4,3.837990473564185,3.2542891361825763,80.80017261042444
A_baseline,123,16,64,0.0,0.0,0.0001,4,3.884331525377263,3.3108034183287374,77.30789384458897
B_capacity_down,42,8,32,0.0,0.0,0.0001,4,4.036585533668709,3.42634800422395,78.5038374996147
B_capacity_down,123,8,32,0.0,0.0,0.0001,4,3.9583881036564392,3.3681816186190745,80.89572480966618
C_light_reg,42,16,64,0.05,0.1,5e-05,4,3.990646136766639,3.3950446830987753,81.63856610054557
C_light_reg,123,16,64,0.05,0.1,5e-05,4,3.89360927597398,3.317105758035742,83.3924113059828
