mode,q80_conformal,q95_conformal
A,1.2156241625455833,2.2489242452762976
B,1.4047360713756691,2.8414731443143024
Bp,1.3427799591949758,2.711693319895732
Bpf,1.4052055125292362,2.8670116626147744
